Category,AuditTitle,OutlineScope
Business Audit,Minimum Security Standards,To assess FSA compliance with the Cabinet Office Minimum Security Standards.
Business Audit,Managing Attendance,Audit will assess effectiveness of the policy on managing attendance in the context of OWOW   
Business Audit,Asset Management,"To assess effectiveness of FSA policies on asset procurement, records, security and disposal "
Business Audit,General Data Protection Regulation,To assess effectiveness of FSA systems and processes established to ensure compliance with the new Regulation. 
Business Audit,Product Recall Delivery Assurance audit,Gateway Review type assessment to provide project delivery assurance
Business Audit,Supplier Management- IT Help Desk Services,The audit will review effectiveness of supplier management arrangements.
Official Controls,"Minced meat, meat preparations and ready to eat products","To assess effectiveness of FSA official controls for minced meat, meat preparations and ready to eat products in achieving the objectives of EU law"
Official Controls,Eggs Hygiene ,To assess effectiveness of FSA official controls for eggs hygiene implemented by APHA in achieving the objectives of EU law.
Official Controls,Bovine TB,To assess effectiveness of FSA official controls for TB in achieving the objectives of EU law. 
Official Controls,Notifiable Diseases,To assess effectiveness of FSA official controls for Notifiable Diseases in achieving the objectives of EU law.
Official Controls,Game Handling Establishments follow -up audit,Follow up audit to assess effectiveness of management actions implemented in addressing issues identified
Official Controls,Approval and re-approval of meat establishments,To assess effectiveness of FSA official controls for approval and re-approval of premises in achieving the objectives of EU law.
Official Controls,Animal Welfare,To assess effectiveness of FSA official controls for animal welfare in achieving the objectives of EU law.
Official Controls,Animal -by-Products,Further follow-up audit requested by ARAC to review effectiveness of management actions
Official Controls,Raw Drinking Milk,Follow up audit to assess effectiveness of management actions implemented to address issues identified. 
Official Controls,Cutting Establishments Unannounced Inspections,To assess effectiveness of FSA official controls for cutting establishments.
Local Authority Audits,Complaints about food hygiene/ food premises and infectious disease control-England,To assess the adequacy/effectiveness of LA arrangements in achieving the objectives of EU law.
Local Authority Audits,Follow-up audits of LAs to check progress in implementing full audit action plans in Wales,Follow-up audits will be carried out to assess progress by LAs in addressing agreed action plans 
Local Authority Audits,Organisation and Management of Official controls delivered by LAs in Northern Ireland,To assess the adequacy/effectiveness of LA arrangements for the delivery of feed and food law enforcement services in Northern Ireland and following up on agreed recommendations  
Local Authority Audits,Audit engagement with all LAs in England achieving less than 90% of planned interventions at premises rated A-E  ,To assess the adequacy/effectiveness of LA arrangements for the delivery of feed and food law enforcement services in England
Local Authority Audits,Delivery of Animal Feed Law Enforcement Services in Wales,To fully assess the/effectiveness of the new model audits will be undertaken across each of the 6 feed regions.  
Local Authority Audits,Allergens -England ,To assess the adequacy/effectiveness of LA arrangements for the delivery of feed and food law enforcement services in England
